Bin	Count	PercReads	PercBases	Average
36000	3	0.0	0.0	36272
35000	3	0.0	0.1	35807
34000	11	0.1	0.2	34888
33000	8	0.1	0.2	34448
32000	21	0.1	0.4	33498
31000	27	0.2	0.7	32745
30000	66	0.4	1.3	31660
29000	71	0.6	1.9	30903
28000	113	1.0	2.8	30056
27000	142	1.4	3.9	29265
26000	176	2.0	5.2	28501
25000	228	2.7	6.9	27702
24000	290	3.6	8.9	26896
23000	375	4.7	11.4	26060
22000	436	6.0	14.2	25268
21000	598	7.9	17.9	24388
20000	747	10.2	22.2	23509
19000	1005	13.2	27.8	22571
18000	1271	17.1	34.5	21636
17000	1545	21.9	42.2	20737
16000	1879	27.6	51.1	19851
15000	1854	33.3	59.3	19108
14000	1710	38.5	66.4	18489
13000	925	41.4	70.0	18148
12000	837	43.9	73.0	17819
11000	906	46.7	75.9	17444
10000	1003	49.8	78.9	17016
9000	1128	53.2	82.0	16528
8000	1167	56.8	84.8	16022
7000	1297	60.8	87.6	15463
6000	1461	65.3	90.3	14848
5000	1695	70.4	92.9	14157
4000	1793	75.9	95.2	13458
3000	1995	82.0	97.2	12716
2000	2075	88.4	98.7	11982
1000	2294	95.4	99.7	11208
0	1491	100.0	100.0	10730

