Bin	Count	PercReads	PercBases	Average
45000	1	0.0	0.0	45611
44000	0	0.0	0.0	45611
43000	0	0.0	0.0	45611
42000	1	0.0	0.0	43824
41000	0	0.0	0.0	43824
40000	1	0.0	0.0	42680
39000	4	0.0	0.0	40739
38000	6	0.0	0.1	39750
37000	8	0.0	0.1	38874
36000	22	0.0	0.2	37641
35000	31	0.1	0.3	36745
34000	49	0.1	0.5	35823
33000	69	0.2	0.7	34976
32000	89	0.3	1.0	34183
31000	144	0.5	1.5	33277
30000	219	0.7	2.2	32329
29000	280	1.0	3.0	31465
28000	349	1.4	4.0	30643
27000	428	1.9	5.3	29848
26000	530	2.5	6.7	29046
25000	689	3.2	8.5	28204
24000	829	4.1	10.6	27383
23000	986	5.2	13.0	26572
22000	1286	6.6	16.0	25696
21000	1529	8.3	19.5	24843
20000	1821	10.3	23.3	23993
19000	2216	12.8	27.8	23131
18000	2461	15.5	32.5	22318
17000	2858	18.6	37.7	21501
16000	3004	21.9	42.8	20746
15000	3149	25.4	47.9	20029
14000	3438	29.2	53.1	19310
13000	3641	33.2	58.2	18607
12000	3999	37.6	63.3	17890
11000	4357	42.4	68.5	17165
10000	4713	47.6	73.7	16438
9000	5007	53.1	78.6	15717
8000	5363	59.0	83.3	14993
7000	5268	64.8	87.4	14322
6000	5196	70.6	90.9	13687
5000	5024	76.1	93.8	13092
4000	4907	81.5	96.1	12522
3000	4826	86.8	97.8	11969
2000	4910	92.2	99.1	11413
1000	4754	97.5	99.8	10881
0	2285	100.0	100.0	10626

